"geo","time","children_per_woman_total_fertility"
"rwa",1823,7.07
"rwa",1824,7.07
"rwa",1825,7.07
"rwa",1826,7.07
"rwa",1827,7.07
"rwa",1828,7.07
"rwa",1829,7.07
"rwa",1830,7.07
"rwa",1831,7.07
"rwa",1832,7.07
"rwa",1833,7.07
"rwa",1834,7.07
"rwa",1835,7.07
"rwa",1836,7.07
"rwa",1837,7.07
"rwa",1838,7.07
"rwa",1839,7.07
"rwa",1840,7.07
"rwa",1841,7.07
"rwa",1842,7.07
"rwa",1843,7.07
"rwa",1844,7.07
"rwa",1845,7.07
"rwa",1846,7.07
"rwa",1847,7.07
"rwa",1848,7.07
"rwa",1849,7.07
"rwa",1850,7.07
"rwa",1851,7.07
"rwa",1852,7.07
"rwa",1853,7.07
"rwa",1854,7.07
"rwa",1855,7.07
"rwa",1856,7.07
"rwa",1857,7.07
"rwa",1858,7.07
"rwa",1859,7.07
"rwa",1860,7.07
"rwa",1861,7.07
"rwa",1862,7.07
"rwa",1863,7.07
"rwa",1864,7.07
"rwa",1865,7.07
"rwa",1866,7.07
"rwa",1867,7.07
"rwa",1868,7.07
"rwa",1869,7.07
"rwa",1870,7.07
"rwa",1871,7.07
"rwa",1872,7.07
"rwa",1873,7.07
"rwa",1874,7.07
"rwa",1875,7.07
"rwa",1876,7.07
"rwa",1877,7.07
"rwa",1878,7.07
"rwa",1879,7.07
"rwa",1880,7.07
"rwa",1881,7.07
"rwa",1882,7.07
"rwa",1883,7.07
"rwa",1884,7.07
"rwa",1885,7.07
"rwa",1886,7.07
"rwa",1887,7.07
"rwa",1888,7.07
"rwa",1889,7.07
"rwa",1890,7.07
"rwa",1891,7.07
"rwa",1892,7.07
"rwa",1893,7.07
"rwa",1894,7.07
"rwa",1895,7.07
"rwa",1896,7.07
"rwa",1897,7.07
"rwa",1898,7.07
"rwa",1899,7.07
"rwa",1900,7.07
"rwa",1901,7.07
"rwa",1902,7.07
"rwa",1903,7.07
"rwa",1904,7.07
"rwa",1905,7.07
"rwa",1906,7.07
"rwa",1907,7.07
"rwa",1908,7.07
"rwa",1909,7.07
"rwa",1910,7.07
"rwa",1911,7.07
"rwa",1912,7.07
"rwa",1913,7.07
"rwa",1914,7.07
"rwa",1915,7.07
"rwa",1916,7.07
"rwa",1917,7.07
"rwa",1918,7.07
"rwa",1919,7.07
"rwa",1920,7.07
"rwa",1921,7.07
"rwa",1922,7.07
"rwa",1923,7.07
"rwa",1924,7.07
"rwa",1925,7.07
"rwa",1926,7.11
"rwa",1927,7.14
"rwa",1928,7.18
"rwa",1929,7.21
"rwa",1930,7.24
"rwa",1931,7.28
"rwa",1932,7.31
"rwa",1933,7.34
"rwa",1934,7.38
"rwa",1935,7.41
"rwa",1936,7.44
"rwa",1937,7.48
"rwa",1938,7.51
"rwa",1939,7.55
"rwa",1940,7.58
"rwa",1941,7.61
"rwa",1942,7.65
"rwa",1943,7.68
"rwa",1944,7.71
"rwa",1945,7.75
"rwa",1946,7.78
"rwa",1947,7.82
"rwa",1948,7.85
"rwa",1949,7.88
"rwa",1950,7.92
"rwa",1951,7.94
"rwa",1952,7.98
"rwa",1953,8.02
"rwa",1954,8.06
"rwa",1955,8.09
"rwa",1956,8.12
"rwa",1957,8.14
"rwa",1958,8.16
"rwa",1959,8.18
"rwa",1960,8.19
"rwa",1961,8.19
"rwa",1962,8.2
"rwa",1963,8.2
"rwa",1964,8.2
"rwa",1965,8.2
"rwa",1966,8.2
"rwa",1967,8.2
"rwa",1968,8.21
"rwa",1969,8.22
"rwa",1970,8.23
"rwa",1971,8.25
"rwa",1972,8.28
"rwa",1973,8.31
"rwa",1974,8.34
"rwa",1975,8.37
"rwa",1976,8.4
"rwa",1977,8.43
"rwa",1978,8.45
"rwa",1979,8.46
"rwa",1980,8.46
"rwa",1981,8.44
"rwa",1982,8.41
"rwa",1983,8.36
"rwa",1984,8.28
"rwa",1985,8.18
"rwa",1986,8.04
"rwa",1987,7.86
"rwa",1988,7.66
"rwa",1989,7.43
"rwa",1990,7.18
"rwa",1991,6.94
"rwa",1992,6.71
"rwa",1993,6.51
"rwa",1994,6.32
"rwa",1995,6.17
"rwa",1996,6.05
"rwa",1997,5.94
"rwa",1998,5.84
"rwa",1999,5.74
"rwa",2000,5.64
"rwa",2001,5.54
"rwa",2002,5.45
"rwa",2003,5.35
"rwa",2004,5.24
"rwa",2005,5.14
"rwa",2006,5.02
"rwa",2007,4.9
"rwa",2008,4.77
"rwa",2009,4.64
"rwa",2010,4.52
"rwa",2011,4.39
"rwa",2012,4.27
"rwa",2013,4.16
"rwa",2014,4.06
"rwa",2015,3.97
"rwa",2016,3.89
"rwa",2017,3.81
"rwa",2018,3.74
"ssd",1800,6.64
"ssd",1801,6.64
"ssd",1802,6.64
"ssd",1803,6.64
"ssd",1804,6.64
"ssd",1805,6.64
"ssd",1806,6.64
"ssd",1807,6.64
"ssd",1808,6.64
"ssd",1809,6.64
"ssd",1810,6.64
"ssd",1811,6.64
"ssd",1812,6.64
"ssd",1813,6.64
"ssd",1814,6.64
"ssd",1815,6.64
"ssd",1816,6.64
"ssd",1817,6.64
"ssd",1818,6.64
"ssd",1819,6.64
"ssd",1820,6.64
"ssd",1821,6.64
"ssd",1822,6.64
"ssd",1823,6.64
"ssd",1824,6.64
"ssd",1825,6.64
"ssd",1826,6.64
"ssd",1827,6.64
"ssd",1828,6.64
"ssd",1829,6.64
"ssd",1830,6.64
"ssd",1831,6.64
"ssd",1832,6.64
"ssd",1833,6.64
"ssd",1834,6.64
"ssd",1835,6.64
"ssd",1836,6.64
"ssd",1837,6.64
"ssd",1838,6.64
"ssd",1839,6.64
"ssd",1840,6.64
"ssd",1841,6.64
"ssd",1842,6.64
"ssd",1843,6.64
"ssd",1844,6.64
"ssd",1845,6.64
"ssd",1846,6.64
"ssd",1847,6.64
"ssd",1848,6.64
"ssd",1849,6.64
"ssd",1850,6.64
"ssd",1851,6.64
"ssd",1852,6.64
"ssd",1853,6.64
"ssd",1854,6.64
"ssd",1855,6.64
"ssd",1856,6.64
"ssd",1857,6.64
"ssd",1858,6.64
"ssd",1859,6.64
"ssd",1860,6.64
"ssd",1861,6.64
"ssd",1862,6.64
"ssd",1863,6.64
"ssd",1864,6.64
"ssd",1865,6.64
"ssd",1866,6.64
"ssd",1867,6.64
"ssd",1868,6.64
"ssd",1869,6.64
"ssd",1870,6.64
"ssd",1871,6.64
"ssd",1872,6.64
"ssd",1873,6.64
"ssd",1874,6.64
"ssd",1875,6.64
"ssd",1876,6.64
"ssd",1877,6.64
"ssd",1878,6.64
"ssd",1879,6.64
"ssd",1880,6.64
"ssd",1881,6.64
"ssd",1882,6.64
"ssd",1883,6.64
"ssd",1884,6.64
"ssd",1885,6.64
"ssd",1886,6.64
"ssd",1887,6.64
"ssd",1888,6.64
"ssd",1889,6.64
"ssd",1890,6.64
"ssd",1891,6.64
"ssd",1892,6.64
"ssd",1893,6.64
"ssd",1894,6.64
"ssd",1895,6.64
"ssd",1896,6.64
"ssd",1897,6.64
"ssd",1898,6.64
"ssd",1899,6.64
"ssd",1900,6.64
"ssd",1901,6.64
"ssd",1902,6.64
