"geo","time","sulfur_emissions_per_person_kg"
"tza",1970,3.943
"tza",1971,4.731
"tza",1972,3.634
"tza",1973,4.218
"tza",1974,3.448
"tza",1975,3.163
"tza",1976,2.944
"tza",1977,2.935
"tza",1978,3.271
"tza",1979,2.665
"tza",1980,2.67
"tza",1981,2.527
"tza",1982,2.323
"tza",1983,2.058
"tza",1984,1.961
"tza",1985,1.86
"tza",1986,2.243
"tza",1987,2.199
"tza",1988,2.117
"tza",1989,2.113
"tza",1990,2.043
"tza",1991,2.051
"tza",1992,1.976
"tza",1993,1.961
"tza",1994,1.906
"tza",1995,1.784
"tza",1996,1.804
"tza",1997,1.78
"tza",1998,1.923
"tza",1999,1.951
"tza",2000,1.764
"uga",1850,6e-04
"uga",1851,6e-04
"uga",1852,0.00119
"uga",1853,0.00178
"uga",1854,0.00236
"uga",1855,0.00294
"uga",1856,0.00352
"uga",1857,0.0041
"uga",1858,0.00467
"uga",1859,0.00524
"uga",1860,0.0058
"uga",1861,0.01149
"uga",1862,0.01714
"uga",1863,0.02276
"uga",1864,0.02834
"uga",1865,0.03388
"uga",1866,0.03939
"uga",1867,0.04486
"uga",1868,0.05029
"uga",1869,0.05569
"uga",1870,0.06106
"uga",1871,0.06639
"uga",1872,0.07192
"uga",1873,0.0774
"uga",1874,0.08286
"uga",1875,0.08828
"uga",1876,0.09366
"uga",1877,0.09901
"uga",1878,0.1043
"uga",1879,0.1096
"uga",1880,0.1149
"uga",1881,0.1297
"uga",1882,0.1205
"uga",1883,0.1209
"uga",1884,0.1213
"uga",1885,0.1331
"uga",1886,0.1448
"uga",1887,0.1564
"uga",1888,0.1685
"uga",1889,0.1867
"uga",1890,0.1968
"uga",1891,0.1653
"uga",1892,0.2126
"uga",1893,0.1851
"uga",1894,0.2294
"uga",1895,0.2019
"uga",1896,0.2264
"uga",1897,0.2544
"uga",1898,0.2623
"uga",1899,0.2638
"uga",1900,0.3142
"uga",1901,0.3412
"uga",1902,0.1793
"uga",1903,0.1958
