"geo","time","child_mortality_0_5_year_olds_dying_per_1000_born"
"ssd",1939,403.31
"ssd",1940,401.322
"ssd",1941,399.344
"ssd",1942,397.376
"ssd",1943,395.418
"ssd",1944,393.469
"ssd",1945,391.529
"ssd",1946,389.6
"ssd",1947,387.679
"ssd",1948,385.769
"ssd",1949,383.867
"ssd",1950,381.975
"ssd",1951,380.093
"ssd",1952,378.219
"ssd",1953,376.355
"ssd",1954,374.5
"ssd",1955,371
"ssd",1956,367.3
"ssd",1957,364.8
"ssd",1958,362
"ssd",1959,359.5
"ssd",1960,357
"ssd",1961,354.4
"ssd",1962,352.1
"ssd",1963,348.9
"ssd",1964,345.9
"ssd",1965,343.3
"ssd",1966,340.1
"ssd",1967,337.3
"ssd",1968,334.3
"ssd",1969,331
"ssd",1970,327.8
"ssd",1971,324.2
"ssd",1972,320.8
"ssd",1973,317.6
"ssd",1974,313.8
"ssd",1975,310.3
"ssd",1976,307.5
"ssd",1977,303.9
"ssd",1978,300.5
"ssd",1979,296.9
"ssd",1980,297.7
"ssd",1981,294.3
"ssd",1982,291
"ssd",1983,287.2
"ssd",1984,283.7
"ssd",1985,279.7
"ssd",1986,275.2
"ssd",1987,270.8
"ssd",1988,266.2
"ssd",1989,261.4
"ssd",1990,256.4
"ssd",1991,251.1
"ssd",1992,245.6
"ssd",1993,239.5
"ssd",1994,233.1
"ssd",1995,226.2
"ssd",1996,218.9
"ssd",1997,211
"ssd",1998,202.5
"ssd",1999,193.7
"ssd",2000,184.4
"ssd",2001,175.2
"ssd",2002,166.2
"ssd",2003,157.6
"ssd",2004,149.3
"ssd",2005,141.6
"ssd",2006,134.3
"ssd",2007,127.9
"ssd",2008,122.1
"ssd",2009,117
"ssd",2010,112.5
"ssd",2011,108.3
"ssd",2012,104.3
"ssd",2013,100.6
"ssd",2014,96.9
"ssd",2015,93.8
"ssd",2016,90.7
"ssd",2017,88.057
"ssd",2018,85.36
"tza",1800,414.89
"tza",1801,414.89
"tza",1802,414.89
"tza",1803,414.89
"tza",1804,414.89
"tza",1805,414.89
"tza",1806,414.89
"tza",1807,414.89
"tza",1808,414.89
"tza",1809,414.89
"tza",1810,414.89
"tza",1811,414.89
"tza",1812,414.89
"tza",1813,414.89
"tza",1814,414.89
"tza",1815,414.89
"tza",1816,414.89
"tza",1817,414.89
"tza",1818,414.89
"tza",1819,414.89
"tza",1820,414.89
"tza",1821,414.89
"tza",1822,414.89
"tza",1823,414.89
"tza",1824,414.89
"tza",1825,414.89
"tza",1826,414.89
"tza",1827,414.89
"tza",1828,414.89
"tza",1829,414.89
"tza",1830,414.89
"tza",1831,414.89
"tza",1832,414.89
"tza",1833,414.89
"tza",1834,414.89
"tza",1835,414.89
"tza",1836,414.89
"tza",1837,414.89
"tza",1838,414.89
"tza",1839,414.89
"tza",1840,414.89
"tza",1841,414.89
"tza",1842,414.89
"tza",1843,414.89
"tza",1844,414.89
"tza",1845,414.89
"tza",1846,414.89
"tza",1847,414.89
"tza",1848,414.89
"tza",1849,414.89
"tza",1850,414.89
"tza",1851,414.89
"tza",1852,414.89
"tza",1853,414.89
"tza",1854,414.89
"tza",1855,414.89
"tza",1856,414.89
"tza",1857,414.89
"tza",1858,414.89
"tza",1859,414.89
"tza",1860,414.89
"tza",1861,414.89
"tza",1862,414.89
"tza",1863,414.89
"tza",1864,414.89
"tza",1865,414.89
"tza",1866,414.89
"tza",1867,414.89
"tza",1868,414.89
"tza",1869,414.89
"tza",1870,414.89
"tza",1871,414.89
"tza",1872,414.89
"tza",1873,414.89
"tza",1874,414.89
"tza",1875,414.89
"tza",1876,414.89
"tza",1877,414.89
"tza",1878,414.89
"tza",1879,414.89
"tza",1880,414.89
"tza",1881,414.89
"tza",1882,414.89
"tza",1883,414.89
"tza",1884,414.89
"tza",1885,414.89
"tza",1886,414.89
"tza",1887,414.89
"tza",1888,414.89
"tza",1889,414.89
"tza",1890,414.89
"tza",1891,414.89
"tza",1892,414.89
"tza",1893,414.89
"tza",1894,414.88
"tza",1895,414.84
"tza",1896,414.78
"tza",1897,414.67
"tza",1898,414.51
"tza",1899,414.28
"tza",1900,413.99
"tza",1901,413.63
"tza",1902,413.21
"tza",1903,412.72
"tza",1904,412.17
"tza",1905,411.55
"tza",1906,410.87
"tza",1907,410.13
"tza",1908,409.32
"tza",1909,408.45
"tza",1910,407.54
