"geo","time","gapminder_gini"
"ken",1981,65.6
"ken",1982,64.9
"ken",1983,63.9
"ken",1984,62.9
"ken",1985,61.9
"ken",1986,60.9
"ken",1987,59.9
"ken",1988,58.9
"ken",1989,58.2
"ken",1990,57.7
"ken",1991,55.9
"ken",1992,53
"ken",1993,50.4
"ken",1994,47.8
"ken",1995,45.3
"ken",1996,44.3
"ken",1997,44.7
"ken",1998,45.1
"ken",1999,45.3
"ken",2000,45.5
"ken",2001,45.6
"ken",2002,45.8
"ken",2003,46
"ken",2004,46.1
"ken",2005,46.1
"ken",2006,46
"ken",2007,45.7
"ken",2008,45.3
"ken",2009,44.7
"ken",2010,44.2
"ken",2011,43.6
"ken",2012,43
"ken",2013,42.5
"ken",2014,41.9
"ken",2015,41.5
"ken",2016,41.1
"ken",2017,40.9
"ken",2018,40.8
"ken",2019,40.8
"ken",2020,40.8
"ken",2021,40.8
"ken",2022,40.8
"ken",2023,40.8
"ken",2024,40.8
"ken",2025,40.8
"ken",2026,40.8
"ken",2027,40.8
"ken",2028,40.8
"ken",2029,40.8
"ken",2030,40.8
"ken",2031,40.8
"ken",2032,40.8
"ken",2033,40.8
"ken",2034,40.8
"ken",2035,40.8
"ken",2036,40.8
"ken",2037,40.8
"ken",2038,40.8
"ken",2039,40.8
"ken",2040,40.8
"rwa",1800,42.5
"rwa",1801,42.5
"rwa",1802,42.5
"rwa",1803,42.5
"rwa",1804,42.5
"rwa",1805,42.5
"rwa",1806,42.5
"rwa",1807,42.5
"rwa",1808,42.5
"rwa",1809,42.5
"rwa",1810,42.5
"rwa",1811,42.5
"rwa",1812,42.5
"rwa",1813,42.5
"rwa",1814,42.5
"rwa",1815,42.5
"rwa",1816,42.5
"rwa",1817,42.5
"rwa",1818,42.5
"rwa",1819,42.5
"rwa",1820,42.5
"rwa",1821,42.5
"rwa",1822,42.5
"rwa",1823,42.5
"rwa",1824,42.5
"rwa",1825,42.5
"rwa",1826,42.5
"rwa",1827,42.5
"rwa",1828,42.5
"rwa",1829,42.5
"rwa",1830,42.5
"rwa",1831,42.5
"rwa",1832,42.5
"rwa",1833,42.5
"rwa",1834,42.5
"rwa",1835,42.5
"rwa",1836,42.5
"rwa",1837,42.5
"rwa",1838,42.5
"rwa",1839,42.5
"rwa",1840,42.5
"rwa",1841,42.5
"rwa",1842,42.5
"rwa",1843,42.5
"rwa",1844,42.5
"rwa",1845,42.5
"rwa",1846,42.5
"rwa",1847,42.5
"rwa",1848,42.5
"rwa",1849,42.5
"rwa",1850,42.5
"rwa",1851,42.5
"rwa",1852,42.5
"rwa",1853,42.5
"rwa",1854,42.5
"rwa",1855,42.5
"rwa",1856,42.5
"rwa",1857,42.5
"rwa",1858,42.5
"rwa",1859,42.5
"rwa",1860,42.5
"rwa",1861,42.5
"rwa",1862,42.5
"rwa",1863,42.5
"rwa",1864,42.5
"rwa",1865,42.4
"rwa",1866,42.4
"rwa",1867,42.3
"rwa",1868,42.2
"rwa",1869,42.1
"rwa",1870,41.9
"rwa",1871,41.7
"rwa",1872,41.5
"rwa",1873,41.2
"rwa",1874,41
"rwa",1875,40.7
"rwa",1876,40.4
"rwa",1877,40
"rwa",1878,39.6
"rwa",1879,39.3
"rwa",1880,38.9
"rwa",1881,38.5
"rwa",1882,38.1
"rwa",1883,37.7
"rwa",1884,37.4
"rwa",1885,37
"rwa",1886,36.6
"rwa",1887,36.2
"rwa",1888,35.9
"rwa",1889,35.5
"rwa",1890,35.1
"rwa",1891,34.7
"rwa",1892,34.3
"rwa",1893,34
"rwa",1894,33.6
"rwa",1895,33.2
"rwa",1896,32.8
"rwa",1897,32.5
"rwa",1898,32.1
"rwa",1899,31.7
"rwa",1900,31.3
"rwa",1901,31
"rwa",1902,30.6
"rwa",1903,30.2
"rwa",1904,29.8
"rwa",1905,29.5
"rwa",1906,29.2
"rwa",1907,29
"rwa",1908,28.8
"rwa",1909,28.7
"rwa",1910,28.7
"rwa",1911,28.7
"rwa",1912,28.7
"rwa",1913,28.8
"rwa",1914,29
"rwa",1915,29.2
"rwa",1916,29.5
"rwa",1917,29.8
"rwa",1918,30.2
"rwa",1919,30.5
"rwa",1920,30.9
"rwa",1921,31.3
"rwa",1922,31.6
"rwa",1923,32
"rwa",1924,32.4
"rwa",1925,32.7
"rwa",1926,32.9
"rwa",1927,33.2
"rwa",1928,33.3
"rwa",1929,33.5
"rwa",1930,33.6
"rwa",1931,33.7
"rwa",1932,33.8
"rwa",1933,33.8
"rwa",1934,33.8
"rwa",1935,33.7
"rwa",1936,33.6
"rwa",1937,33.5
"rwa",1938,33.4
"rwa",1939,33.2
"rwa",1940,33.1
"rwa",1941,33
"rwa",1942,32.8
"rwa",1943,32.7
"rwa",1944,32.6
"rwa",1945,32.5
"rwa",1946,32.3
"rwa",1947,32.3
"rwa",1948,32.3
"rwa",1949,32.4
"rwa",1950,32.4
"rwa",1951,32.6
"rwa",1952,32.9
"rwa",1953,33.3
"rwa",1954,33.8
"rwa",1955,34.4
"rwa",1956,35
"rwa",1957,35.6
"rwa",1958,36.1
"rwa",1959,36.6
"rwa",1960,37.1
"rwa",1961,37.4
"rwa",1962,37.5
"rwa",1963,37.6
"rwa",1964,37.6
"rwa",1965,37.6
"rwa",1966,37.5
"rwa",1967,37.5
"rwa",1968,37.5
"rwa",1969,37.3
"rwa",1970,36.9
"rwa",1971,36.4
"rwa",1972,35.7
"rwa",1973,34.9
"rwa",1974,34
"rwa",1975,33.2
"rwa",1976,32.3
"rwa",1977,31.5
"rwa",1978,30.6
"rwa",1979,29.9
"rwa",1980,29.4
"rwa",1981,29.1
"rwa",1982,28.9
"rwa",1983,28.9
"rwa",1984,29.2
"rwa",1985,29.6
"rwa",1986,30.4
"rwa",1987,31.4
"rwa",1988,32.6
"rwa",1989,33.8
"rwa",1990,35
"rwa",1991,36.3
"rwa",1992,37.5
"rwa",1993,38.7
"rwa",1994,40
"rwa",1995,41.2
"rwa",1996,42.4
"rwa",1997,43.6
"rwa",1998,44.9
"rwa",1999,46.1
"rwa",2000,47.2
"rwa",2001,48.2
"rwa",2002,49.1
"rwa",2003,49.9
"rwa",2004,50.6
"rwa",2005,51
"rwa",2006,51
"rwa",2007,50.7
"rwa",2008,50.1
"rwa",2009,49.1
"rwa",2010,48.2
"rwa",2011,47.4
"rwa",2012,46.6
"rwa",2013,46
"rwa",2014,45.5
"rwa",2015,45.3
"rwa",2016,45.1
"rwa",2017,45.1
"rwa",2018,45.1
"rwa",2019,45.1
"rwa",2020,45.1
"rwa",2021,45.1
"rwa",2022,45.1
"rwa",2023,45.1
"rwa",2024,45.1
"rwa",2025,45.1
"rwa",2026,45.1
"rwa",2027,45.1
"rwa",2028,45.1
"rwa",2029,45.1
"rwa",2030,45.1
"rwa",2031,45.1
"rwa",2032,45.1
"rwa",2033,45.1
"rwa",2034,45.1
"rwa",2035,45.1
"rwa",2036,45.1
"rwa",2037,45.1
"rwa",2038,45.1
"rwa",2039,45.1
"rwa",2040,45.1
"ssd",1800,45
"ssd",1801,45
"ssd",1802,45
"ssd",1803,45
"ssd",1804,45
"ssd",1805,45
"ssd",1806,45
"ssd",1807,45
"ssd",1808,45
"ssd",1809,45
"ssd",1810,45
"ssd",1811,45
"ssd",1812,45
"ssd",1813,45
"ssd",1814,45
"ssd",1815,45
"ssd",1816,45
"ssd",1817,45
"ssd",1818,45
"ssd",1819,45
"ssd",1820,45
"ssd",1821,45
"ssd",1822,45
"ssd",1823,45
"ssd",1824,45
"ssd",1825,45
"ssd",1826,45
"ssd",1827,45
"ssd",1828,45
"ssd",1829,45
"ssd",1830,45
"ssd",1831,45
"ssd",1832,45
"ssd",1833,45
"ssd",1834,45
"ssd",1835,45
"ssd",1836,45
"ssd",1837,45
"ssd",1838,45
"ssd",1839,45
"ssd",1840,45
"ssd",1841,45
"ssd",1842,45
"ssd",1843,45
"ssd",1844,45
"ssd",1845,45
"ssd",1846,45
"ssd",1847,45
"ssd",1848,45
"ssd",1849,45
"ssd",1850,45
"ssd",1851,45
"ssd",1852,45
"ssd",1853,45
"ssd",1854,45
"ssd",1855,45
"ssd",1856,45
"ssd",1857,45
"ssd",1858,45
"ssd",1859,45
"ssd",1860,45
"ssd",1861,45
"ssd",1862,45
"ssd",1863,45
"ssd",1864,45
"ssd",1865,45
"ssd",1866,45
"ssd",1867,45
"ssd",1868,45
"ssd",1869,45
"ssd",1870,45
"ssd",1871,45
"ssd",1872,45
"ssd",1873,45
"ssd",1874,45
"ssd",1875,45
"ssd",1876,45
"ssd",1877,45
"ssd",1878,45
"ssd",1879,45
"ssd",1880,45
"ssd",1881,45
"ssd",1882,45
"ssd",1883,45
"ssd",1884,45
"ssd",1885,45
"ssd",1886,45
"ssd",1887,45
"ssd",1888,45
"ssd",1889,45
"ssd",1890,45
"ssd",1891,45
"ssd",1892,45
"ssd",1893,45
"ssd",1894,45
"ssd",1895,45
"ssd",1896,45
"ssd",1897,45
"ssd",1898,45
"ssd",1899,45
"ssd",1900,45
"ssd",1901,45
"ssd",1902,45
"ssd",1903,45
"ssd",1904,45
"ssd",1905,45
"ssd",1906,45
"ssd",1907,45
"ssd",1908,45
"ssd",1909,45
"ssd",1910,45
"ssd",1911,45
"ssd",1912,45
"ssd",1913,45
"ssd",1914,45
"ssd",1915,45
"ssd",1916,45
"ssd",1917,45
"ssd",1918,45
"ssd",1919,45
"ssd",1920,45
"ssd",1921,45
"ssd",1922,45
"ssd",1923,45
"ssd",1924,45
"ssd",1925,45
"ssd",1926,45
"ssd",1927,45
"ssd",1928,45
"ssd",1929,45
"ssd",1930,45
"ssd",1931,45
"ssd",1932,45
"ssd",1933,45
"ssd",1934,45
"ssd",1935,45
"ssd",1936,45
"ssd",1937,45
"ssd",1938,45
"ssd",1939,45
"ssd",1940,45
"ssd",1941,45
"ssd",1942,45
"ssd",1943,45
"ssd",1944,45
"ssd",1945,45
"ssd",1946,45
"ssd",1947,45
"ssd",1948,45
"ssd",1949,45
"ssd",1950,45
"ssd",1951,45
"ssd",1952,45
"ssd",1953,45
"ssd",1954,45
"ssd",1955,45
"ssd",1956,45
"ssd",1957,45
"ssd",1958,45
"ssd",1959,45
"ssd",1960,45
"ssd",1961,45
"ssd",1962,45
"ssd",1963,45
"ssd",1964,45
"ssd",1965,45
"ssd",1966,45
"ssd",1967,45
"ssd",1968,45
"ssd",1969,45
"ssd",1970,45
"ssd",1971,45
"ssd",1972,45
"ssd",1973,45
"ssd",1974,45
"ssd",1975,45
"ssd",1976,45
"ssd",1977,45
"ssd",1978,45
"ssd",1979,45
"ssd",1980,45
"ssd",1981,45
"ssd",1982,45
"ssd",1983,45
"ssd",1984,45
"ssd",1985,45
"ssd",1986,45
"ssd",1987,45
"ssd",1988,45
"ssd",1989,45
"ssd",1990,45
"ssd",1991,45
"ssd",1992,45
"ssd",1993,45
"ssd",1994,45
"ssd",1995,45
"ssd",1996,45
"ssd",1997,45
"ssd",1998,45
"ssd",1999,45
"ssd",2000,45
"ssd",2001,45
"ssd",2002,45
"ssd",2003,45
"ssd",2004,45
"ssd",2005,45
"ssd",2006,45
"ssd",2007,45.3
"ssd",2008,45.3
"ssd",2009,45.3
"ssd",2010,45.3
"ssd",2011,45.3
"ssd",2012,45
"ssd",2013,45
"ssd",2014,45
"ssd",2015,45
"ssd",2016,45
"ssd",2017,45
"ssd",2018,45
"ssd",2019,45
"ssd",2020,45
"ssd",2021,45
"ssd",2022,45
"ssd",2023,45
"ssd",2024,45
"ssd",2025,45
"ssd",2026,45
"ssd",2027,45
"ssd",2028,45
"ssd",2029,45
"ssd",2030,45
"ssd",2031,45
"ssd",2032,45
"ssd",2033,45
"ssd",2034,45
