"geo","time","child_mortality_0_5_year_olds_more_years_version_7"
"rwa",1863,420
"rwa",1864,420
"rwa",1865,420
"rwa",1866,420
"rwa",1867,420
"rwa",1868,420
"rwa",1869,420
"rwa",1870,420
"rwa",1871,420
"rwa",1872,420
"rwa",1873,420
"rwa",1874,420
"rwa",1875,420
"rwa",1876,420
"rwa",1877,420
"rwa",1878,420
"rwa",1879,420
"rwa",1880,420
"rwa",1881,420
"rwa",1882,420
"rwa",1883,420
"rwa",1884,420
"rwa",1885,420
"rwa",1886,420
"rwa",1887,420
"rwa",1888,420
"rwa",1889,420
"rwa",1890,420
"rwa",1891,420
"rwa",1892,420
"rwa",1893,420
"rwa",1894,420
"rwa",1895,420
"rwa",1896,419.9
"rwa",1897,419.8
"rwa",1898,419.7
"rwa",1899,419.4
"rwa",1900,419.1
"rwa",1901,418.8
"rwa",1902,418.3
"rwa",1903,417.9
"rwa",1904,417.3
"rwa",1905,416.7
"rwa",1906,416
"rwa",1907,415.2
"rwa",1908,414.4
"rwa",1909,413.5
"rwa",1910,412.6
"rwa",1911,411.6
"rwa",1912,410.7
"rwa",1913,409.7
"rwa",1914,408.7
"rwa",1915,407.7
"rwa",1916,406.7
"rwa",1917,405.8
"rwa",1918,404.8
"rwa",1919,403.8
"rwa",1920,402.8
"rwa",1921,401.8
"rwa",1922,400.8
"rwa",1923,399.8
"rwa",1924,398.9
"rwa",1925,397.9
"rwa",1926,396.9
"rwa",1927,395.9
"rwa",1928,394.9
"rwa",1929,393.9
"rwa",1930,392.9
"rwa",1931,387.1
"rwa",1932,381.4
"rwa",1933,376.9
"rwa",1934,371.3
"rwa",1935,365.8
"rwa",1936,360.2
"rwa",1937,354.8
"rwa",1938,350.6
"rwa",1939,345.3
"rwa",1940,340
"rwa",1941,334.8
"rwa",1942,329.6
"rwa",1943,325.6
"rwa",1944,320.5
"rwa",1954,250.1
"rwa",1955,244.5
"rwa",1956,238.9
"rwa",1957,233.4
"rwa",1958,227.6
"rwa",1959,221.5
"rwa",1960,216.1
